hour,day_of_week,month,temperature,humidity,is_weekend,electricity_load
10,5,1,16.21,63.12,1,356.03
11,5,1,21.07,53.97,1,398.45
12,5,1,17.67,51.55,1,351.29
13,5,1,22.28,83.71,1,376.19
14,5,1,18.1,48.55,1,379.19
15,5,1,25.51,61.29,1,334.29
16,5,1,18.51,49.36,1,308.25
17,5,1,19.89,78.67,1,321.49
18,5,1,23.3,63.72,1,253.43
19,5,1,17.17,57.56,1,244.07
20,5,1,21.54,58.05,1,238.89
21,5,1,24.78,82.61,1,206.94
22,5,1,16.04,67.69,1,162.36
23,5,1,21.41,75.89,1,209.81
0,6,1,21.81,84.85,1,159.87
1,6,1,23.38,85.09,1,168.79
2,6,1,17.32,56.43,1,200.21
3,6,1,17.07,87.62,1,224.12
4,6,1,22.6,41.24,1,260.71
5,6,1,21.92,58.84,1,211.11
6,6,1,21.78,84.79,1,287.06
7,6,1,22.07,53.73,1,310.92
8,6,1,18.99,53.65,1,324.78
9,6,1,21.73,55.13,1,357.14
10,6,1,21.91,70.62,1,375.51
11,6,1,18.89,61.92,1,346.73
12,6,1,26.63,76.34,1,416.57
13,6,1,22.45,84.75,1,336.55
14,6,1,17.46,73.71,1,345.25
15,6,1,23.0,50.22,1,337.98
16,6,1,18.11,86.63,1,368.23
17,6,1,23.39,53.22,1,293.2
18,6,1,24.51,47.49,1,275.63
19,6,1,18.57,44.5,1,281.34
20,6,1,23.92,68.17,1,218.8
21,6,1,22.27,45.69,1,176.39
22,6,1,23.5,46.94,1,178.8
23,6,1,26.72,55.0,1,212.63
0,0,1,20.47,54.08,0,205.25
1,0,1,18.94,70.21,0,249.67
2,0,1,18.53,80.84,0,236.82
3,0,1,18.75,78.07,0,224.51
4,0,1,20.97,53.12,0,253.59
5,0,1,22.23,52.27,0,257.62
6,0,1,22.03,88.29,0,286.71
7,0,1,23.68,40.41,0,419.67
8,0,1,21.24,83.99,0,372.27
9,0,1,25.56,49.99,0,396.84
10,0,1,20.41,87.36,0,378.12
11,0,1,29.36,57.12,0,446.39
12,0,1,23.08,62.02,0,424.69
13,0,1,18.63,75.36,0,442.65
14,0,1,17.99,69.38,0,433.29
15,0,1,22.65,55.9,0,342.75
16,0,1,20.53,67.69,0,331.47
17,0,1,23.34,76.54,0,309.17
18,0,1,22.62,42.12,0,282.68
19,0,1,20.98,40.56,0,283.13
20,0,1,18.66,62.9,0,247.01
21,0,1,16.66,46.59,0,284.1
22,0,1,19.86,73.22,0,256.83
23,0,1,23.77,50.7,0,207.71
0,1,1,22.02,61.64,0,239.14
1,1,1,17.64,49.88,0,244.08
2,1,1,21.89,67.42,0,204.65
3,1,1,22.53,45.8,0,190.43
4,1,1,18.72,41.16,0,253.84
5,1,1,21.83,42.56,0,261.64
6,1,1,21.55,87.71,0,305.26
7,1,1,17.94,47.11,0,337.81
8,1,1,22.45,75.42,0,352.38
9,1,1,23.06,43.4,0,383.82
10,1,1,24.62,45.41,0,368.91
11,1,1,24.53,65.44,0,411.16
12,1,1,17.24,63.24,0,403.11
13,1,1,18.56,87.58,0,409.19
14,1,1,22.92,87.24,0,408.05
15,1,1,22.91,78.98,0,348.51
16,1,1,22.92,70.11,0,346.67
17,1,1,32.93,62.75,0,350.84
18,1,1,23.09,57.81,0,292.43
19,1,1,24.78,87.35,0,299.06
20,1,1,24.23,70.15,0,241.18
21,1,1,23.33,68.95,0,221.5
22,1,1,20.43,51.6,0,203.13
23,1,1,23.65,42.33,0,229.37
0,2,1,19.22,87.26,0,197.09
1,2,1,20.83,55.69,0,215.53
2,2,1,20.09,62.13,0,257.69
3,2,1,21.79,45.73,0,228.32
4,2,1,28.49,81.85,0,288.46
5,2,1,15.94,41.38,0,322.69
6,2,1,23.6,81.7,0,324.55
7,2,1,16.7,47.01,0,338.78
8,2,1,20.13,84.33,0,367.52
9,2,1,24.81,76.49,0,351.99
10,2,1,21.74,48.23,0,371.66
11,2,1,18.31,68.29,0,393.72
12,2,1,19.4,55.63,0,451.32
13,2,1,23.58,48.91,0,384.3
14,2,1,19.35,82.96,0,376.67
15,2,1,22.19,60.18,0,350.31
16,2,1,21.68,59.93,0,362.0
17,2,1,19.59,48.49,0,334.76
18,2,1,27.97,59.15,0,336.67
19,2,1,23.44,83.58,0,291.16
20,2,1,15.47,58.16,0,238.72
21,2,1,22.1,87.58,0,213.4
22,2,1,19.56,87.32,0,246.81
23,2,1,24.1,47.24,0,204.59
0,3,1,19.34,48.87,0,230.41
1,3,1,21.37,83.13,0,201.99
2,3,1,23.23,59.64,0,197.11
3,3,1,24.31,40.22,0,229.0
4,3,1,18.11,53.69,0,240.36
5,3,1,20.71,69.88,0,266.03
6,3,1,20.29,79.96,0,308.3
7,3,1,19.75,46.67,0,341.73
8,3,1,27.01,45.53,0,330.72
9,3,1,22.93,86.1,0,372.68
10,3,1,17.93,77.56,0,385.04
11,3,1,24.47,69.49,0,389.79
12,3,1,28.08,78.46,0,417.85
13,3,1,24.81,61.44,0,392.61
14,3,1,17.15,77.92,0,426.36
15,3,1,20.26,58.59,0,398.82
16,3,1,25.51,52.2,0,382.42
17,3,1,19.59,76.45,0,322.01
18,3,1,23.04,60.98,0,283.36
19,3,1,24.04,89.07,0,280.85
20,3,1,18.93,57.47,0,254.66
21,3,1,21.53,86.09,0,218.28
22,3,1,11.99,86.65,0,214.91
23,3,1,18.64,52.09,0,210.98
0,4,1,21.12,79.91,0,194.11
1,4,1,18.14,61.65,0,226.83
2,4,1,26.78,85.88,0,238.65
3,4,1,17.59,62.51,0,262.33
4,4,1,20.56,77.22,0,228.41
5,4,1,22.27,63.35,0,282.83
6,4,1,26.21,51.39,0,295.97
7,4,1,17.57,49.97,0,312.54
8,4,1,25.37,61.27,0,349.86
9,4,1,21.91,77.77,0,392.3
10,4,1,18.94,70.25,0,386.81
11,4,1,23.27,74.43,0,431.07
12,4,1,22.48,54.12,0,412.18
13,4,1,20.08,64.07,0,393.51
14,4,1,22.09,42.22,0,410.03
15,4,1,20.73,80.88,0,382.8
16,4,1,22.22,89.49,0,331.91
17,4,1,23.87,60.34,0,367.73
18,4,1,26.64,40.55,0,316.79
19,4,1,18.17,48.49,0,284.07
20,4,1,28.28,72.63,0,248.59
21,4,1,16.03,70.6,0,267.82
22,4,1,21.43,79.39,0,225.18
23,4,1,23.65,52.69,0,220.11
0,5,1,22.89,78.18,1,162.08
1,5,1,20.18,74.4,1,194.63
2,5,1,21.43,56.14,1,203.07
3,5,1,20.57,67.27,1,189.48
4,5,1,20.28,47.36,1,195.95
5,5,1,24.6,62.63,1,262.25
6,5,1,23.12,84.06,1,241.34
7,5,1,19.97,61.06,1,303.99
8,5,1,24.75,81.98,1,317.93
9,5,1,22.97,69.51,1,367.52
10,5,1,24.49,49.59,1,354.97
11,5,1,23.94,69.06,1,393.59
12,5,1,19.56,65.3,1,365.81
13,5,1,20.37,59.93,1,390.67
14,5,1,24.29,45.98,1,403.54
15,5,1,23.88,60.84,1,324.06
16,5,1,21.99,43.64,1,325.87
17,5,1,22.4,44.94,1,351.87
18,5,1,25.88,60.8,1,281.04
19,5,1,20.28,55.27,1,249.66
20,5,1,23.69,86.28,1,240.0
21,5,1,21.44,58.79,1,201.5
22,5,1,21.4,77.89,1,150.76
23,5,1,25.35,66.51,1,204.42
0,6,1,24.7,75.2,1,136.68
1,6,1,24.66,53.01,1,171.72
2,6,1,26.14,87.1,1,217.89
3,6,1,22.28,66.5,1,192.86
4,6,1,24.27,81.57,1,211.79
5,6,1,21.29,58.25,1,263.48
6,6,1,23.19,45.01,1,255.96
7,6,1,21.83,73.69,1,271.87
8,6,1,22.51,40.39,1,326.77
9,6,1,24.0,63.76,1,342.06
10,6,1,19.76,49.64,1,337.32
11,6,1,28.5,71.37,1,395.57
12,6,1,19.2,88.97,1,386.29
13,6,1,18.58,63.22,1,367.96
14,6,1,25.69,80.87,1,360.01
15,6,1,24.59,65.39,1,356.6
16,6,1,24.09,64.79,1,349.04
17,6,1,24.1,86.52,1,295.49
18,6,1,22.18,84.5,1,283.55
19,6,1,19.53,79.29,1,261.6
20,6,1,22.45,54.81,1,238.7
21,6,1,20.19,67.25,1,204.61
22,6,1,25.14,51.19,1,173.01
23,6,1,21.78,62.2,1,164.71
0,0,1,19.91,64.21,0,212.08
1,0,1,21.42,81.58,0,241.22
2,0,1,23.63,84.8,0,207.78
3,0,1,20.7,60.73,0,248.65
4,0,1,19.92,40.89,0,248.64
5,0,1,23.12,83.09,0,279.12
6,0,1,23.12,48.71,0,333.11
7,0,1,20.87,71.09,0,344.0
8,0,1,20.97,41.25,0,327.74
9,0,1,23.08,59.98,0,361.97
10,0,1,18.04,89.3,0,421.62
11,0,1,18.16,45.03,0,409.02
12,0,1,20.23,61.18,0,381.44
13,0,1,21.75,55.36,0,380.85
14,0,1,23.32,85.25,0,403.97
15,0,1,26.81,83.47,0,402.63
16,0,1,24.96,51.88,0,357.76
17,0,1,21.91,44.06,0,375.62
18,0,1,22.33,71.36,0,317.31
19,0,1,19.38,56.82,0,275.8
20,0,1,22.33,73.6,0,234.51
21,0,1,21.52,41.61,0,210.99
22,0,1,23.35,46.67,0,223.49
23,0,1,19.91,74.32,0,198.87
0,1,1,24.11,50.62,0,238.75
1,1,1,27.15,82.88,0,245.61
2,1,1,22.23,42.93,0,226.63
3,1,1,23.76,50.77,0,210.11
4,1,1,24.62,89.93,0,243.12
5,1,1,21.35,61.65,0,300.86
6,1,1,23.23,75.15,0,291.8
7,1,1,22.59,49.13,0,349.8
8,1,1,22.85,70.49,0,361.61
9,1,1,20.23,76.31,0,376.16
10,1,1,22.63,55.72,0,374.11
11,1,1,24.05,81.44,0,399.83
12,1,1,26.91,70.17,0,416.06
13,1,1,25.43,59.46,0,425.82
14,1,1,29.01,67.88,0,386.42
15,1,1,20.25,68.84,0,369.83
16,1,1,25.17,48.28,0,358.82
17,1,1,23.1,60.14,0,341.89
18,1,1,29.12,57.17,0,299.64
19,1,1,20.13,60.05,0,252.47
20,1,1,,78.06,0,268.39
21,1,1,20.76,64.13,0,202.04
22,1,1,16.18,87.02,0,253.64
23,1,1,20.98,54.68,0,202.85
0,2,1,20.44,60.79,0,172.94
1,2,1,23.17,79.35,0,196.73
2,2,1,23.74,67.3,0,225.34
3,2,1,28.35,67.35,0,234.51
4,2,1,25.57,42.67,0,259.33
5,2,1,20.99,59.93,0,291.45
6,2,1,20.02,53.54,0,300.9
7,2,1,24.2,89.97,0,312.63
8,2,1,18.76,55.42,0,352.12
9,2,1,28.21,84.22,0,414.54
10,2,1,26.26,73.81,0,430.95
11,2,1,21.31,57.05,0,357.91
12,2,1,17.58,67.18,0,432.87
13,2,1,26.78,82.03,0,413.55
14,2,1,22.38,84.17,0,406.02
15,2,1,26.43,48.02,0,370.78
16,2,1,17.94,56.98,0,324.79
17,2,1,20.92,56.76,0,340.27
18,2,1,22.74,42.1,0,283.02
19,2,1,22.86,69.91,0,248.5
20,2,1,21.37,82.74,0,225.21
21,2,1,24.59,59.08,0,247.78
22,2,1,19.52,77.0,0,222.39
23,2,1,22.29,71.39,0,219.79
0,3,1,23.25,58.78,0,216.5
1,3,1,24.43,47.05,0,201.06
2,3,1,25.02,75.47,0,219.54
3,3,1,19.51,82.73,0,225.28
4,3,1,18.28,74.29,0,255.09
5,3,1,26.72,40.89,0,266.57
6,3,1,23.88,50.81,0,312.51
7,3,1,20.64,43.47,0,350.79
8,3,1,27.54,68.52,0,347.51
9,3,1,23.23,77.82,0,399.42
10,3,1,26.42,45.53,0,399.93
11,3,1,23.09,81.92,0,404.13
12,3,1,29.07,67.78,0,383.68
13,3,1,28.15,74.5,0,375.82
14,3,1,22.14,88.57,0,389.83
15,3,1,25.8,44.18,0,396.0
16,3,1,24.82,85.06,0,343.62
17,3,1,26.99,46.31,0,371.76
18,3,1,19.99,59.65,0,319.72
19,3,1,24.94,82.57,0,263.31
20,3,1,26.06,,0,260.77
21,3,1,17.61,65.32,0,289.81
22,3,1,19.34,69.71,0,195.21
23,3,1,16.77,75.41,0,227.05
0,4,1,22.24,81.64,0,194.15
1,4,1,25.2,46.08,0,225.55
2,4,1,27.56,80.5,0,252.63
3,4,1,23.27,64.06,0,224.74
4,4,1,27.94,62.53,0,287.22
5,4,1,18.91,61.19,0,326.27
6,4,1,17.94,65.46,0,311.48
7,4,1,22.88,87.25,0,343.79
8,4,1,24.2,67.41,0,343.69
9,4,1,22.95,87.66,0,373.47
10,4,1,16.85,49.01,0,395.95
11,4,1,22.78,76.21,0,414.49
12,4,1,19.14,80.61,0,431.25
13,4,1,25.06,73.96,0,402.05
14,4,1,24.15,70.35,0,422.65
15,4,1,20.23,68.24,0,405.74
16,4,1,21.51,83.05,0,368.17
17,4,1,19.87,81.08,0,320.88
18,4,1,22.86,46.11,0,289.92
19,4,1,25.91,82.43,0,267.66
20,4,1,20.09,60.7,0,273.75
21,4,1,24.56,52.68,0,211.46
22,4,1,21.46,83.49,0,228.29
23,4,1,20.67,61.6,0,185.11
0,5,1,22.89,80.42,1,188.7
1,5,1,20.11,53.17,1,178.48
2,5,1,21.55,40.2,1,211.19
3,5,1,19.62,64.77,1,228.07
4,5,1,29.11,45.01,1,266.47
5,5,1,23.32,77.72,1,276.63
6,5,1,21.11,53.8,1,275.09
7,5,1,23.85,62.18,1,277.34
8,5,1,22.88,44.35,1,301.14
9,5,1,22.55,54.33,1,300.35
10,5,1,25.06,79.07,1,342.57
11,5,1,25.49,47.58,1,376.68
12,5,1,21.62,72.36,1,359.75
13,5,1,21.49,85.87,1,364.28
14,5,1,22.39,73.99,1,367.43
15,5,1,16.31,80.55,1,348.86
16,5,1,18.67,45.45,1,305.9
17,5,1,27.31,52.54,1,308.1
18,5,1,28.15,84.73,1,267.4
19,5,1,22.47,75.76,1,239.87
20,5,1,24.94,71.98,1,254.21
21,5,1,24.15,73.19,1,199.25
22,5,1,32.45,60.71,1,244.94
23,5,1,26.57,42.23,1,213.47
0,6,1,22.99,79.22,1,160.89
1,6,1,20.51,73.94,1,154.91
2,6,1,18.56,63.64,1,190.96
3,6,1,23.99,84.99,1,227.32
4,6,1,21.11,56.81,1,212.43
5,6,1,19.11,54.72,1,269.51
6,6,1,21.44,83.64,1,295.58
7,6,1,20.13,79.85,1,285.07
8,6,1,28.44,65.75,1,322.57
9,6,1,26.02,46.54,1,365.01
10,6,1,23.35,50.75,1,363.02
11,6,1,27.82,72.81,1,367.41
12,6,1,23.61,59.25,1,366.97
13,6,1,20.79,81.82,1,368.2
14,6,1,27.94,87.5,1,340.17
15,6,1,24.99,80.28,1,363.5
16,6,1,20.26,58.88,1,314.77
17,6,1,22.8,79.43,1,242.22
18,6,1,20.75,57.57,1,272.65
19,6,1,19.23,48.36,1,236.22
20,6,1,26.15,41.67,1,264.16
21,6,1,29.1,59.29,1,205.34
22,6,1,19.18,85.18,1,168.5
23,6,1,25.06,51.95,1,191.23
0,0,1,21.58,50.33,0,187.83
1,0,1,22.08,88.49,0,188.01
2,0,1,21.76,41.25,0,224.19
3,0,1,20.94,79.29,0,211.12
4,0,1,23.68,56.07,0,225.06
5,0,1,21.04,41.87,0,311.03
6,0,1,24.35,85.89,0,317.46
7,0,1,23.39,46.98,0,324.06
8,0,1,22.82,67.59,0,351.98
9,0,1,20.81,53.7,0,383.79
10,0,1,21.81,43.26,0,406.55
11,0,1,25.8,42.5,0,390.98
12,0,1,25.04,45.78,0,414.92
13,0,1,20.6,43.57,0,389.95
14,0,1,23.83,78.03,0,387.41
15,0,1,25.79,64.28,0,383.4
16,0,1,18.53,57.14,0,358.55
17,0,1,25.17,60.92,0,348.51
18,0,1,21.55,86.45,0,310.87
19,0,1,25.25,85.54,0,252.08
20,0,1,21.25,75.78,0,224.73
21,0,1,18.12,84.23,0,231.59
22,0,1,18.65,55.98,0,258.33
23,0,1,23.68,59.06,0,190.58
0,1,1,24.48,70.69,0,202.03
1,1,1,,71.18,0,195.22
2,1,1,25.61,64.08,0,211.35
3,1,1,18.71,60.03,0,241.07
4,1,1,23.5,89.31,0,281.76
5,1,1,20.06,81.06,0,288.08
6,1,1,21.74,61.75,0,284.58
7,1,1,23.84,76.36,0,385.55
8,1,1,21.12,53.48,0,353.78
9,1,1,22.54,45.01,0,360.53
10,1,1,26.72,57.62,0,426.63
11,1,1,21.97,60.15,0,387.29
12,1,1,26.2,40.83,0,443.77
13,1,1,20.31,80.74,0,383.41
14,1,1,25.29,57.96,0,423.42
15,1,1,28.02,69.02,0,389.79
16,1,1,16.28,43.7,0,390.12
17,1,1,21.31,48.75,0,365.65
18,1,1,25.43,84.48,0,285.92
19,1,1,23.09,70.43,0,302.35
20,1,1,24.81,87.51,0,228.85
21,1,1,21.89,89.94,0,208.63
22,1,1,23.96,58.59,0,202.22
23,1,1,23.23,54.94,0,216.56
0,2,1,27.36,82.92,0,214.06
1,2,1,24.62,89.93,0,206.61
2,2,1,24.87,71.48,0,223.5
3,2,1,22.62,79.76,0,242.67
4,2,1,22.39,79.09,0,264.35
5,2,1,22.56,57.77,0,297.4
6,2,1,25.04,68.71,0,344.0
7,2,1,22.59,81.65,0,326.94
8,2,1,24.73,74.41,0,346.39
9,2,1,30.08,41.06,0,403.19
10,2,1,26.47,56.84,0,374.89
11,2,1,22.88,47.22,0,385.21
12,2,1,27.46,51.65,0,433.64
13,2,1,22.63,85.27,0,395.69
14,2,1,17.74,41.84,0,373.08
15,2,1,20.83,50.99,0,343.83
16,2,1,18.24,55.48,0,360.36
17,2,1,22.8,70.84,0,350.73
18,2,1,23.91,66.71,0,327.35
19,2,1,28.89,50.91,0,293.55
20,2,1,24.84,48.21,0,297.27
21,2,1,23.2,51.84,0,230.19
22,2,1,26.34,65.13,0,221.49
23,2,1,17.22,53.56,0,164.0
0,3,1,24.72,87.38,0,197.86
1,3,1,26.33,63.19,0,231.27
2,3,1,19.58,42.94,0,250.73
3,3,1,27.45,76.46,0,226.3
4,3,1,25.03,56.44,0,266.82
5,3,1,22.77,72.67,0,296.98
6,3,1,25.91,53.98,0,310.01
7,3,1,30.83,68.54,0,302.28
8,3,1,24.56,78.61,0,361.35
9,3,1,24.76,86.4,0,392.84
10,3,1,22.64,53.06,0,369.25
11,3,1,21.47,56.74,0,392.85
12,3,1,26.51,63.21,0,388.15
13,3,1,21.45,86.36,0,346.57
14,3,1,24.23,85.07,0,412.72
15,3,1,22.58,44.49,0,372.09
16,3,1,25.45,46.6,0,390.58
17,3,1,25.02,64.78,0,350.57
18,3,1,27.13,45.33,0,305.73
19,3,1,22.48,57.28,0,273.67
20,3,1,23.21,47.42,0,264.34
21,3,1,21.08,71.8,0,250.93
22,3,1,22.68,87.47,0,221.56
23,3,1,25.15,89.84,0,233.39
0,4,1,26.44,58.76,0,205.17
1,4,1,21.41,69.95,0,184.95
2,4,1,26.78,82.81,0,224.05
3,4,1,28.24,45.87,0,248.99
4,4,1,25.41,74.48,0,234.5
5,4,1,29.8,60.44,0,266.89
6,4,1,21.85,50.31,0,309.32
7,4,1,20.44,60.14,0,321.66
8,4,1,18.84,43.8,0,354.59
9,4,1,28.66,74.77,0,380.17
10,4,1,26.14,52.64,0,427.35
11,4,1,24.01,55.57,0,426.84
12,4,1,25.01,46.05,0,382.78
13,4,1,20.8,83.23,0,388.95
14,4,1,31.51,64.67,0,427.38
15,4,1,24.56,68.61,0,389.15
16,4,1,24.5,68.47,0,355.42
17,4,1,26.35,60.52,0,314.0
18,4,1,25.61,49.63,0,295.39
19,4,1,24.84,77.26,0,270.89
20,4,1,21.8,46.35,0,256.04
21,4,1,25.59,45.19,0,272.33
22,4,1,29.82,75.51,0,219.2
23,4,1,28.21,50.44,0,198.41
0,5,1,29.11,55.34,1,185.6
1,5,1,22.79,63.76,1,196.03
2,5,1,21.36,62.47,1,156.06
3,5,1,23.95,75.43,1,233.24
4,5,1,24.49,71.17,1,222.8
5,5,1,27.61,72.22,1,243.46
6,5,1,19.25,75.7,1,244.87
7,5,1,28.92,54.63,1,327.3
8,5,1,23.85,56.12,1,321.21
9,5,1,23.05,61.9,1,346.74
10,5,1,21.29,55.37,1,340.36
11,5,1,19.36,89.25,1,366.8
12,5,1,26.8,80.7,1,372.26
13,5,1,24.55,48.23,1,370.95
14,5,1,20.46,40.28,1,347.07
15,5,1,20.44,42.14,1,313.92
16,5,1,23.32,52.2,1,377.87
17,5,1,29.33,45.71,1,286.95
18,5,1,23.55,66.67,1,277.5
19,5,1,19.82,82.9,1,214.13
20,5,1,23.59,76.84,1,184.04
21,5,1,23.51,50.78,1,205.02
22,5,1,16.24,59.96,1,201.29
23,5,1,24.16,65.39,1,204.05
0,6,1,23.79,80.51,1,182.46
1,6,1,26.57,81.96,1,181.84
2,6,1,30.03,85.49,1,184.48
3,6,1,27.86,65.46,1,243.92
4,6,1,23.68,74.71,1,242.77
5,6,1,21.16,45.59,1,221.28
6,6,1,32.2,68.26,1,296.27
7,6,1,24.66,52.43,1,305.41
8,6,1,24.52,61.59,1,319.4
9,6,1,24.41,71.7,1,362.17
10,6,1,25.08,52.85,1,380.93
11,6,1,24.05,42.61,1,367.91
12,6,1,22.76,40.51,1,366.29
13,6,1,22.84,41.11,1,398.68
14,6,1,24.38,40.42,1,381.22
15,6,1,22.85,45.52,1,344.29
16,6,1,,51.97,1,288.28
17,6,1,24.8,51.06,1,309.77
18,6,1,23.72,89.34,1,288.26
19,6,1,28.99,55.3,1,206.51
20,6,1,16.53,46.37,1,238.71
21,6,1,27.76,67.28,1,205.35
22,6,1,28.22,82.9,1,194.53
23,6,1,18.26,73.9,1,164.6
0,0,1,23.61,54.8,0,201.05
1,0,1,23.52,68.08,0,235.05
2,0,1,20.41,75.74,0,208.44
3,0,1,22.3,76.41,0,249.36
4,0,1,21.3,73.33,0,235.61
5,0,1,29.89,83.54,0,309.02
6,0,1,,83.51,0,313.64
7,0,1,28.45,68.95,0,349.05
8,0,1,26.8,61.49,0,362.14
9,0,1,21.25,72.08,0,385.42
10,0,1,23.06,80.91,0,337.91
11,0,1,26.1,40.28,0,378.46
12,0,1,20.97,89.6,0,410.92
13,0,1,26.77,49.14,0,367.66
14,0,1,23.91,63.51,0,380.78
15,0,1,23.51,83.6,0,373.4
16,0,1,26.77,51.25,0,345.36
17,0,1,25.97,63.84,0,321.97
18,0,1,23.55,46.63,0,309.31
19,0,1,28.11,59.75,0,309.59
20,0,1,21.39,48.86,0,232.35
21,0,1,26.48,58.18,0,229.0
22,0,1,26.41,58.67,0,209.81
23,0,1,23.71,89.66,0,159.25
0,1,1,25.77,89.74,0,212.25
